id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV10007586,四惠桥(公交站),"116.490608,39.904922",交通设施服务;公交车站;公交车站相关,150700,400路内环;400路外环;400路快车外环;455路;496路;54路;657路;666路;865路;专113路;夜34路,110105,北京市,北京市,朝阳区,高碑店
BV10000642,百子湾家园(公交站),"116.510009,39.900755",交通设施服务;公交车站;公交车站相关,150700,专113路;专71路;专87路,110105,北京市,北京市,朝阳区,南磨房
BV11386223,英家坟(快速公交站),"116.485443,39.915447",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,红庙
BV10007692,青年路口北(公交站),"116.517325,39.927045",交通设施服务;公交车站;公交车站相关,150700,363路;451路;468路;499路;911路;专194路;专50路;夜13路,110105,北京市,北京市,朝阳区,姚家园
BV10000477,英家坟(公交站),"116.484879,39.915321",交通设施服务;公交车站;公交车站相关,150700,115路;135路;138路;419路;488路;615路;671路;95路;夜13路,110105,北京市,北京市,朝阳区,慈云寺
BV10435441,惠河南街(公交站),"116.520673,39.906124",交通设施服务;公交车站;公交车站相关,150700,专167路,110105,北京市,北京市,朝阳区,高碑店
BV10000646,百子湾(公交站),"116.498643,39.900426",交通设施服务;公交车站;公交车站相关,150700,31路;439路;专113路;专87路,110105,北京市,北京市,朝阳区,南磨房
BV10006285,红领巾桥北(公交站),"116.489540,39.925365",交通设施服务;公交车站;公交车站相关,150700,400路内环;400路外环;400路快车内环;496路;657路;690路,110105,北京市,北京市,朝阳区,北京甜水园
BV09459050,华纺易城(公交站),"116.514931,39.928507",交通设施服务;公交车站;公交车站相关,150700,363路;499路,110105,北京市,北京市,朝阳区,姚家园
BV10007429,十里堡北区(公交站),"116.501883,39.930363",交通设施服务;公交车站;公交车站相关,150700,408路;640路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10007590,青年路小区(公交站),"116.520758,39.925530",交通设施服务;公交车站;公交车站相关,150700,126路;553路;605路;682路;专50路;夜3路,110105,北京市,北京市,朝阳区,甘露园
BV10008074,百子湾东里(公交站),"116.504565,39.899012",交通设施服务;公交车站;公交车站相关,150700,专71路,110105,北京市,北京市,朝阳区,南磨房
BV10000560,高庙(公交站),"116.496050,39.929944",交通设施服务;公交车站;公交车站相关,150700,138路;140路;408路;486路,110105,北京市,北京市,朝阳区,慈云寺
BV09451034,华纺易城社区(公交站),"116.513448,39.930165",交通设施服务;公交车站;公交车站相关,150700,499路;专72路,110105,北京市,北京市,朝阳区,姚家园
BV10333954,百子湾家园南站(公交站),"116.509419,39.898984",交通设施服务;公交车站;公交车站相关,150700,专71路,110105,北京市,北京市,朝阳区,南磨房
BV10007547,水南庄南站(公交站),"116.502604,39.897713",交通设施服务;公交车站;公交车站相关,150700,31路;439路;专71路,110105,北京市,北京市,朝阳区,南磨房
BV10000563,石佛营西里东站(公交站),"116.500278,39.931511",交通设施服务;公交车站;公交车站相关,150700,140路;486路,110105,北京市,北京市,朝阳区,姚家园
