mp_index,source_index,lon,lat,route_count,direct_count,is_direct,is_suspended,quality_score,headway_min,transfer_penalty_min,tokens,name,address
0,78,116.827044,39.944397,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊火车站口(公交站),811路;816路;817路;930路
1,148,116.800474,39.948541,6,5,1,0,3.5000,6.00,0.00,811 812 813 814 818 819,交通干部管理学院(公交站),811路;812路;813路;814路;818路;818路(金桐西路);819路;燕郊专线
2,155,116.890820,39.950213,4,3,1,0,3.4900,6.00,0.00,503 816 817 930,东柳河屯(公交站),816路;817路;930路;三河503路
3,108,116.816719,39.943815,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊迎宾路口(公交站),811路;816路;817路;930路
4,246,116.911389,39.953325,5,3,1,0,3.5000,6.00,0.00,113 503 816 817 930,夏垫(公交站),113路;816路;817路;930路;三河503路;大厂4路
5,180,116.789907,39.947601,4,3,1,0,3.4900,6.00,0.00,812 814 818 882,潮白人家小区(公交站),812路;814路;818路;818路(金桐西路);882路
6,172,116.795570,39.942609,9,6,1,1,3.4800,12.00,4.00,301A 301B 503 811 813 816 817 819 930,兴达广场小区(公交站),(停运)燕潮夜市1线;811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;燕郊专线
7,43,116.838806,39.945667,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊食品城(公交站),811路;816路;817路;930路
8,230,116.928101,39.955761,3,2,1,0,3.3300,6.00,0.00,503 816 930,耀华佳苑(公交站),816路;930路;三河503路
9,222,116.941406,39.957813,3,2,1,0,3.3300,6.00,0.00,503 816 930,大厂温泉度假村(公交站),816路;930路;三河503路
10,2,116.838168,39.958766,5,3,1,0,3.3000,6.00,0.00,301A 301B 813 814 882,上上城五期(公交站),813路;814路;882路;三河301A路;三河301B路;快速直达专线9路
11,77,116.866506,39.947930,2,2,1,0,3.1700,6.00,0.00,816 930,运河源建材城(公交站),816路;930路
12,122,116.805075,39.958450,2,2,1,0,3.1700,6.00,0.00,811 818,华北科技学院北门(公交站),811路;818路;818路(金桐西路)
