mp_index,lon,lat,route_count,direct_count,quality_score,name,address
89,116.604896,39.919184,1,0,1.1600,连心园西门(公交站),专39路
90,116.718177,39.959922,2,0,1.3200,小堡环岛(公交站),T18路;T48路
91,116.601493,39.912188,4,0,1.6400,杨闸环岛东(公交站),388路;442路;442路区间;583路;专39路
92,116.713154,39.931689,1,0,1.1600,含章园四区东(公交站),专118路
93,116.718390,39.907843,2,0,1.3200,辛安屯街东口(公交站),T58路;T88路
94,116.709857,39.917904,2,0,1.3200,古城西桥公交场站(公交站),322路;322路快车;913路
95,116.697026,39.893817,2,0,1.3200,乔庄东站(公交站),专206路;专208路内环;专208路外环;通游专线7路
96,116.607240,39.894427,4,0,0.9900,郭家场桥(公交站),(停运)312-23路联运;(停运)高铁专线3号线;312路;312路区间;312路快车;669路;夜29路;大兴机场巴士通州线
97,116.601240,39.899253,1,0,1.1600,塔营街东口(公交站),专211路
98,116.701667,39.943785,2,0,1.3200,疃里大街东口(公交站),589路;T70路
99,116.711944,39.885704,2,0,1.3200,小圣庙桥东(公交站),317路;T116路;T6路;通游专线1路;通游专线2路;通游专线7路
100,116.735516,39.920201,9,2,3.5000,召里南(公交站),816路;819路;893路;894路;T18路;T19路;T48路;专118路;通医专线12路
101,116.736026,39.904034,10,1,3.0300,东夏园路口北(公交站),442路;804路;816路;893路;894路;T41路;T45路;专118路;专82路;亚太花园酒店摆渡车(仅限凭机场大巴票免费);通医专线12路
102,116.686072,39.927361,17,1,3.0300,耿庄桥北(公交站),316路;388路;388路快车;552路;589路;615路;667路;675路;809路华龙班车;813路;T2路;T44路;T60路;T61路;T62路;T7路;专64路;专77路;专88路;快速直达专线5路;通医专线15路
103,116.647339,39.921997,7,1,2.8700,北京财贸职业学院(公交站),582路;615路;811路;861路;T102路;T102路区间;T1路;T3路;T60路;T6路;郊89路
104,116.642739,39.914957,7,1,2.8700,通惠北路北口(公交站),582路;615路;811路;861路;T102路;T102路区间;T1路;T3路;T60路;T6路;郊89路
105,116.737420,39.909576,6,1,2.7100,后北营南站(公交站),804路;816路;893路;894路;专118路;通医专线12路
106,116.692597,39.931787,6,1,2.7100,新潮嘉园一区(公交站),589路;809路华龙班车;813路;T2路;T70路;通医专线12路;通医专线15路
107,116.706821,39.937562,5,1,2.5500,六合桥东(公交站),809路;809路华龙班车;813路;T2路;通医专线12路;通医专线15路;郊88路
108,116.700200,39.934670,5,1,2.5500,新潮嘉园三区(公交站),589路;813路;T2路;T70路;通医专线12路;通医专线15路
109,116.725261,39.942211,5,1,2.5500,小堡村南口(公交站),813路;T18路;T2路;T48路;专118路;通医专线12路
110,116.799397,39.943108,9,6,3.5000,燕灵路口(公交站),811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;快速直达专线9路;燕郊专线
111,116.799201,39.950973,4,3,3.4900,防灾科技学院(公交站),811路;812路;818路;818路(金桐西路);819路;燕郊专线
112,116.911389,39.953325,5,3,3.5000,夏垫(公交站),113路;816路;817路;930路;三河503路;大厂4路
113,116.827044,39.944397,4,4,3.4900,燕郊火车站口(公交站),811路;816路;817路;930路
114,116.838806,39.945667,4,4,3.4900,燕郊食品城(公交站),811路;816路;817路;930路
115,116.790012,39.947545,4,3,3.4900,潮白人家小区(公交站),812路;814路;818路;818路(金桐西路);882路
116,116.890820,39.950213,4,3,3.4900,东柳河屯(公交站),816路;817路;930路;三河503路
117,116.816719,39.943815,4,4,3.4900,燕郊迎宾路口(公交站),811路;816路;817路;930路
118,116.897899,39.951445,3,3,3.3300,大厂福喜公司(公交站),816路;817路;930路
119,116.928101,39.955761,3,2,3.3300,耀华佳苑(公交站),816路;930路;三河503路
120,116.941406,39.957813,3,2,3.3300,大厂温泉度假村(公交站),816路;930路;三河503路
121,116.920282,39.954459,3,2,3.3300,燕北畜牧机械厂(公交站),816路;930路;三河503路
122,116.838168,39.958766,5,3,3.3000,上上城五期(公交站),813路;814路;882路;三河301A路;三河301B路;快速直达专线9路
123,116.812131,39.958398,2,2,3.1700,燕郊中美医院(公交站),811路;818路;818路(金桐西路)
124,116.866506,39.947930,2,2,3.1700,运河源建材城(公交站),816路;930路
125,116.805075,39.958450,2,2,3.1700,华北科技学院北门(公交站),811路;818路;818路(金桐西路)
126,116.817887,39.948938,4,2,3.1400,燕郊开发区(公交站),813路;814路;三河303路;三河401路
127,116.780525,39.963097,10,2,3.1300,意华小区(公交站),(停运)三河旅游4线;(停运)燕潮夜市3路;815路大站快车;815路快;815路快(景辉南街);819路;882路;893路;三河301A路;三河301B路;三河303路;三河309路;临1路;城铁接驳1路;快速直达专线20路;快速直达专线61路;燕郊专线
128,116.850310,39.946772,6,1,3.0600,长城重机(公交站),930路;三河303路;三河305路;三河307路;三河310路;三河503路
129,116.798400,39.958559,5,3,3.0000,中赵甫村(公交站),(停运)燕潮夜市1线;811路;818路;818路(金桐西路);819路;三河307路;三河308路;燕郊专线
130,116.830046,39.949560,2,2,2.8200,上上城四期(公交站),813路;814路;燕郊专线
131,116.806621,39.948315,2,2,2.8200,燕郊行宫大市场(公交站),813路;814路
132,116.984207,39.966396,3,1,2.5800,直属库(公交站),930路;三河503路;三河507路
133,117.019492,39.975916,1,1,2.2600,蓝庄酒厂(公交站),930路
134,116.990699,39.967863,1,1,2.2600,临时站(公交站),930路
135,116.815743,39.965529,1,1,2.2600,燕郊富地广场(公交站),818路;818路(金桐西路)
136,117.007713,39.971376,1,1,2.2600,李旗庄(公交站),930路
137,116.842359,39.937623,3,1,2.2300,燕郊冶金一局(公交站),811路;812路;894路;燕郊专线
138,116.843652,39.930434,3,1,2.2300,燕郊总站(公交站),811路;812路;894路;燕郊专线
139,116.951311,39.959635,4,1,2.0900,煤矿路口(公交站),(停运)三河旅游3线;113路;930路;三河503路;三河507路
140,116.953316,39.929558,2,1,2.0700,赵沟子村(公交站),113路;816路
141,116.951492,39.942261,1,1,1.9100,沃珅路口(公交站),816路
142,116.927331,39.925473,1,1,1.9100,南寺头村(公交站),817路
143,116.917999,39.944701,1,1,1.9100,夏垫镇政府(公交站),817路;大厂4路
144,116.789692,39.958959,1,1,1.9100,东方夏威夷小区东门(公交站),819路;燕郊专线
145,117.033774,39.944641,1,0,1.1600,化甲屯村委会(公交站),512路
146,116.843830,39.955040,2,0,1.3200,赵辛庄南(公交站),三河301A路;三河301B路;临1路
147,116.816891,39.932745,2,0,1.3200,聚盛建材城(公交站),302路;大厂22路
148,116.839419,39.951650,1,0,0.5100,忆江南西门(公交站),(停运)三河旅游3线;(停运)燕潮夜市2线;三河307路
149,116.959528,39.960828,2,0,1.3200,大定福西(公交站),三河503路;三河507路
150,117.050551,39.949815,1,0,1.1600,魏各庄村西(公交站),512路
151,116.884852,39.949891,3,3,3.3300,三河李家务(公交站),816路;817路;930路
152,117.002157,39.970126,3,0,1.4800,第三中学(公交站),三河503路;三河507路;三河515路
153,117.029431,39.979692,6,0,1.3100,李枣林(公交站),(停运)三河511路;三河102路;三河503路;三河507路;三河515路;三河520路
154,116.815451,39.953254,0,0,1.0000,北欧小区南门(公交站),临1路
155,116.845890,39.922092,2,0,1.3200,张营村(公交站),三河304路;三河309路
156,117.057701,39.966751,1,0,1.1600,大枣林村(公交站),三河202路
157,117.044065,39.956513,1,0,1.1600,杨相公庄(公交站),三河509路
158,116.796788,39.914160,0,0,0.3500,燕潮夜市(公交站),(停运)燕潮夜市1线;(停运)燕潮夜市2线;(停运)燕潮夜市3路
159,116.818000,39.924851,2,0,1.3200,交界庄(公交站),302路;大厂22路
160,116.800474,39.948541,6,5,3.5000,交通干部管理学院(公交站),811路;812路;813路;814路;818路;818路(金桐西路);819路;燕郊专线
161,116.795570,39.942609,9,6,3.4800,兴达广场小区(公交站),(停运)燕潮夜市1线;811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;燕郊专线
162,116.833394,39.945182,3,3,3.3300,燕郊印刷城(公交站),811路;816路;930路
163,116.843658,39.946102,2,2,3.1700,燕郊住达集团(公交站),816路;930路
164,116.811845,39.943954,2,2,3.1700,燕郊行宫花园(公交站),816路;930路
165,116.905863,39.952684,4,3,2.8400,夏垫交警中队(公交站),(停运)三河旅游3线;816路;817路;930路;三河503路;大厂4路
166,116.871529,39.948315,4,3,2.8400,天子庄园(公交站),(停运)三河旅游3线;816路;817路;930路;三河503路
167,116.836519,39.949966,2,2,2.8200,上上城二期(公交站),813路;814路;燕郊专线
168,116.786576,39.946259,6,1,2.4100,欧逸丽庭(公交站),(停运)燕潮夜市3路;815路快;815路快(景辉南街);818路;818路(金桐西路);893路;三河301A路;三河301B路;三河308路
